Y,X0,X1
3.6,1,79
1.8,1,54
3.333,1,74
2.283,1,62
4.533,1,85
2.883,1,55
4.7,1,88
3.6,1,85
1.95,1,51
4.35,1,85
1.833,1,54
3.917,1,84
4.2,1,78
1.75,1,47
4.7,1,83
2.167,1,52
1.75,1,62
4.8,1,84
1.6,1,52
4.25,1,79
1.8,1,51
1.75,1,47
3.45,1,78
3.067,1,69
4.533,1,74
3.6,1,83
1.967,1,55
4.083,1,76
3.85,1,78
4.433,1,79
4.3,1,73
4.467,1,77
3.367,1,66
4.033,1,80
3.833,1,74
2.017,1,52
1.867,1,48
4.833,1,80
1.833,1,59
4.783,1,90
4.35,1,80
1.883,1,58
4.567,1,84
1.75,1,58
4.533,1,73
3.317,1,83
3.833,1,64
2.1,1,53
4.633,1,82
2,1,59
4.8,1,75
4.716,1,90
1.833,1,54
4.833,1,80
1.733,1,54
4.883,1,83
3.717,1,71
1.667,1,64
4.567,1,77
4.317,1,81
2.233,1,59
4.5,1,84
1.75,1,48
4.8,1,82
1.817,1,60
4.4,1,92
4.167,1,78
4.7,1,78
2.067,1,65
4.7,1,73
4.033,1,82
1.967,1,56
4.5,1,79
4,1,71
1.983,1,62
5.067,1,76
2.017,1,60
4.567,1,78
3.883,1,76
3.6,1,83
4.133,1,75
4.333,1,82
4.1,1,70
2.633,1,65
4.067,1,73
4.933,1,88
3.95,1,76
4.517,1,80
2.167,1,48
4,1,86
2.2,1,60
4.333,1,90
1.867,1,50
4.817,1,78
1.833,1,63
4.3,1,72
4.667,1,84
3.75,1,75
1.867,1,51
4.9,1,82
2.483,1,62
4.367,1,88
2.1,1,49
4.5,1,83
4.05,1,81
1.867,1,47
4.7,1,84
1.783,1,52
4.85,1,86
3.683,1,81
4.733,1,75
2.3,1,59
4.9,1,89
4.417,1,79
1.7,1,59
4.633,1,81
2.317,1,50
4.6,1,85
1.817,1,59
4.417,1,87
2.617,1,53
4.067,1,69
4.25,1,77
1.967,1,56
4.6,1,88
3.767,1,81
1.917,1,45
4.5,1,82
2.267,1,55
4.65,1,90
1.867,1,45
4.167,1,83
2.8,1,56
4.333,1,89
1.833,1,46
4.383,1,82
1.883,1,51
4.933,1,86
2.033,1,53
3.733,1,79
4.233,1,81
2.233,1,60
4.533,1,82
4.817,1,77
4.333,1,76
1.983,1,59
4.633,1,80
2.017,1,49
5.1,1,96
1.8,1,53
5.033,1,77
4,1,77
2.4,1,65
4.6,1,81
3.567,1,71
4,1,70
4.5,1,81
4.083,1,93
1.8,1,53
3.967,1,89
2.2,1,45
4.15,1,86
2,1,58
3.833,1,78
3.5,1,66
4.583,1,76
2.367,1,63
5,1,88
1.933,1,52
4.617,1,93
1.917,1,49
2.083,1,57
4.583,1,77
3.333,1,68
4.167,1,81
4.333,1,81
4.5,1,73
2.417,1,50
4,1,85
4.167,1,74
1.883,1,55
4.583,1,77
4.25,1,83
3.767,1,83
2.033,1,51
4.433,1,78
4.083,1,84
1.833,1,46
4.417,1,83
2.183,1,55
4.8,1,81
1.833,1,57
4.8,1,76
4.1,1,84
3.966,1,77
4.233,1,81
3.5,1,87
4.366,1,77
2.25,1,51
4.667,1,78
2.1,1,60
4.35,1,82
4.133,1,91
1.867,1,53
4.6,1,78
1.783,1,46
4.367,1,77
3.85,1,84
1.933,1,49
4.5,1,83
2.383,1,71
4.7,1,80
1.867,1,49
3.833,1,75
3.417,1,64
4.233,1,76
2.4,1,53
4.8,1,94
2,1,55
4.15,1,76
1.867,1,50
4.267,1,82
1.75,1,54
4.483,1,75
4,1,78
4.117,1,79
4.083,1,78
4.267,1,78
3.917,1,70
4.55,1,79
4.083,1,70
2.417,1,54
4.183,1,86
2.217,1,50
4.45,1,90
1.883,1,54
1.85,1,54
4.283,1,77
3.95,1,79
2.333,1,64
4.15,1,75
2.35,1,47
4.933,1,86
2.9,1,63
4.583,1,85
3.833,1,82
2.083,1,57
4.367,1,82
2.133,1,67
4.35,1,74
2.2,1,54
4.45,1,83
3.567,1,73
4.5,1,73
4.15,1,88
3.817,1,80
3.917,1,71
4.45,1,83
2,1,56
4.283,1,79
4.767,1,78
4.533,1,84
1.85,1,58
4.25,1,83
1.983,1,43
2.25,1,60
4.75,1,75
4.117,1,81
2.15,1,46
4.417,1,90
1.817,1,46
4.467,1,74
