superhero,survival
Captain America,0.7936109898146242
Iron Man,0.9808513845782727
Thor,0.970467897830531
Dr. Strange,0.20643316907808185
Captain America,0.8364909305237234
Captain America,0.20387054164893925
Captain America,0.9923756790813059
Black Widow,0.7495921526569873
Hulk,0.06899977312423289
Hulk,0.5620550976600498
Hulk,0.5284866176079959
Captain America,0.4011830042582005
Black Widow,0.9752520867623389
Captain America,0.1715579319279641
Dr. Strange,0.9539691668469459
Dr. Strange,0.15977381728589535
Hulk,0.3247193335555494
Dr. Strange,0.6728342920541763
Captain America,0.15713368076831102
Hulk,0.7596913569141179
Captain America,0.8688556521665305
Thor,0.10036001959815621
Iron Man,0.3289136318489909
Captain America,0.8469971944577992
Thor,0.4348616839852184
Captain America,0.9283882786985487
Captain America,0.48354486213065684
Captain America,0.05623101443052292
Thor,0.10525839449837804
Iron Man,0.5180773895699531
Iron Man,0.8111818083561957
Captain America,0.5479473494924605
Captain America,0.769533253274858
Iron Man,0.5367096976842731
Thor,0.9878810604568571
Hulk,0.8459825618192554
Iron Man,0.9472765452228487
Captain America,0.573828571010381
Captain America,0.3441333044320345
Captain America,0.6234682695940137
Black Widow,0.9978335190098733
Captain America,0.9595612382981926
Black Widow,0.44593369006179273
Iron Man,0.3274934352375567
Captain America,0.565991097362712
Captain America,0.17951282626017928
Thor,0.20123037742450833
Captain America,0.049170485930517316
Dr. Strange,0.5822246293537319
Captain America,0.17349008121527731
Thor,0.2102653707843274
Captain America,0.20742628490552306
Captain America,0.7959745991975069
Captain America,0.6717655521351844
Thor,0.6971081839874387
Captain America,0.8449876569211483
Dr. Strange,0.08918429329060018
Captain America,0.6291668019257486
Hulk,0.5335552087053657
Captain America,0.5503150238655508
Dr. Strange,0.582071531098336
Captain America,0.2854554341174662
Captain America,0.044303253293037415
Dr. Strange,0.03916619368828833
Black Widow,0.36673170211724937
Thor,0.47348364628851414
Iron Man,0.408128127688542
Captain America,0.23494970961473882
Hulk,0.05787723697721958
Captain America,0.2767304808367044
Iron Man,0.21191767463460565
Dr. Strange,0.0435662514064461
Thor,0.5423129124101251
Captain America,0.3122098434250802
Captain America,0.11316003045067191
Thor,0.3366688771639019
Dr. Strange,0.20460827741771936
Dr. Strange,0.871885305037722
Captain America,0.5947449798695743
Captain America,0.178282268345356
Hulk,0.5848389198072255
Captain America,0.09039337164722383
Hulk,0.9305885152425617
Hulk,0.502320802770555
Captain America,0.3017472643405199
Captain America,0.11567814997397363
Captain America,0.7551934258081019
Captain America,0.8825905511621386
Captain America,0.4845441991928965
Captain America,0.5386130367405713
Captain America,0.6226390223018825
Dr. Strange,0.39633562276139855
Thor,0.2591301978100091
Hulk,0.8967074162792414
Dr. Strange,0.08992075803689659
Captain America,0.9753425924573094
Captain America,0.5581356880720705
Captain America,0.9930798637215048
Captain America,0.24257915397174656
Black Widow,0.644428329076618
Captain America,0.2737858204636723
Thor,0.5593354117590934
Captain America,0.26749716117046773
Captain America,0.03614727943204343
Thor,0.39476413349621
Iron Man,0.7194561921060085
Captain America,0.25171720888465643
Captain America,0.6322431100998074
Captain America,0.16141991363838315
Captain America,0.3747328002937138
Iron Man,0.6882591706234962
Captain America,0.4288624068722129
Dr. Strange,0.7074768049642444
Hulk,0.8240057968068868
Captain America,0.9401151644997299
Dr. Strange,0.759250849019736
Hulk,0.006969756679609418
Dr. Strange,0.03391297557391226
Captain America,0.18928602267988026
Captain America,0.8453006031922996
Captain America,0.7472846375312656
Captain America,0.3692917798180133
Dr. Strange,0.16148768970742822
Captain America,0.9870961289852858
Captain America,0.318352528847754
Captain America,0.49036565609276295
Captain America,0.11857052682898939
Captain America,0.16599847003817558
Hulk,0.9364338996820152
Captain America,0.7154592254664749
Captain America,0.8879540991038084
Captain America,0.9393706596456468
Captain America,0.4735950594767928
Black Widow,0.5729829024057835
Captain America,0.6734147977549583
Iron Man,0.25322739873081446
Thor,0.5272691077552736
Hulk,0.7526053576730192
Black Widow,0.6963442664127797
Captain America,0.701130511239171
Captain America,0.04381066607311368
Captain America,0.6998561648651958
Captain America,0.9936128631234169
Captain America,0.7428403201047331
Captain America,0.023774491855874658
Iron Man,0.9228361796122044
Hulk,0.10881238617002964
Dr. Strange,0.17919485131278634
Hulk,0.21782498876564205
Captain America,0.49063224717974663
Captain America,0.3764324311632663
Iron Man,0.9640003796666861
Dr. Strange,0.19953845627605915
Dr. Strange,0.11696617444977164
Captain America,0.44141694623976946
Thor,0.3841668202076107
Iron Man,0.94930215831846
Hulk,0.22374058654531837
Iron Man,0.2206845988985151
Black Widow,0.6338017040397972
Iron Man,0.5540291562210768
Captain America,0.6589842499233782
Captain America,0.5208444427698851
Captain America,0.011726661818102002
Hulk,0.38111388590186834
Captain America,0.28861793084070086
Captain America,0.8733369028195739
Iron Man,0.2655060729011893
Captain America,0.36346812592819333
Black Widow,0.7574364710599184
Thor,0.803268430987373
Dr. Strange,0.3626825383398682
Hulk,0.6916662740986794
Captain America,0.24045601557008922
Thor,0.217122885864228
Captain America,0.4156877654604614
Hulk,0.42092481977306306
Thor,0.2446325314231217
Dr. Strange,0.41011124453507364
Dr. Strange,0.8191680151503533
Hulk,0.9888894520699978
Thor,0.8853164406027645
Hulk,0.3565813088789582
Captain America,0.42874822625890374
Captain America,0.2577541077043861
Captain America,0.5144975578878075
Captain America,0.6043002081569284
Thor,0.4207967503461987
Dr. Strange,0.0875895656645298
Hulk,0.22921396978199482
Captain America,0.5413930921349674
Captain America,0.021539474138990045
Captain America,0.0603095106780529
Dr. Strange,0.7496223854832351
Thor,0.16397913778200746
Hulk,0.8084735597949475
Captain America,0.5082393994089216
Black Widow,0.7585927243344486
Dr. Strange,0.3797369485255331
Hulk,0.5879951696842909
Thor,0.30225948337465525
Dr. Strange,0.34745875536464155
Iron Man,0.5523933402728289
Iron Man,0.9407191048376262
Thor,0.8027576189488173
Captain America,0.5074983923695982
Captain America,0.39524406543932855
Captain America,0.7334494569804519
Thor,0.28621903783641756
Thor,0.5736287462059408
Captain America,0.0764749520458281
Thor,0.7605183920823038
Hulk,0.826146167004481
Captain America,0.7373093508649617
Captain America,0.5023534179199487
Captain America,0.8715017957147211
Hulk,0.6560670633334666
Thor,0.05486904154531658
Thor,0.05249161855317652
Dr. Strange,0.21898274193517864
Iron Man,0.6346415870357305
Dr. Strange,0.13916733395308256
Captain America,0.40501374332234263
Dr. Strange,0.47878264053724706
Black Widow,0.12694174353964627
Dr. Strange,0.34694656636565924
Captain America,0.35119791282340884
Captain America,0.044123305939137936
Captain America,0.3533535860478878
Captain America,0.9579956594388932
Captain America,0.69667235808447
Captain America,0.7353234628681093
Captain America,0.030120934825390577
Black Widow,0.718992842361331
Hulk,0.591037878068164
Black Widow,0.5948351570405066
Dr. Strange,0.8901426419615746
Captain America,0.3897253347095102
Hulk,0.04721513739787042
Captain America,0.5402057047467679
Captain America,0.6191913755610585
Hulk,0.7202200272586197
Captain America,0.6149270967580378
Iron Man,0.33990358421579003
Captain America,0.7715829042717814
Captain America,0.42085577081888914
Dr. Strange,0.13844551774673164
Dr. Strange,0.4069030361715704
Thor,0.011569704627618194
Captain America,0.41050206357613206
Iron Man,0.49260776303708553
Iron Man,0.8560495350975543
Iron Man,0.8316071210429072
Hulk,0.370015476597473
Dr. Strange,0.20280300080776215
Hulk,0.8835412326734513
Captain America,0.44713469757698476
Captain America,0.14120099786669016
Dr. Strange,0.8853898104280233
Hulk,0.3308216310106218
Iron Man,0.87967294966802
Captain America,0.16107334126718342
Black Widow,0.7132188405375928
Hulk,0.3011219771578908
Hulk,0.8670479448046535
Captain America,0.5025256515946239
Dr. Strange,0.6615877414587885
Hulk,0.31866300804540515
Iron Man,0.11757832253351808
Dr. Strange,0.6175345524679869
Captain America,0.744358419906348
Hulk,0.2541218677069992
Dr. Strange,0.5255224416032434
Captain America,0.1198276171926409
Iron Man,0.579439249355346
Iron Man,0.4870726268272847
Hulk,0.6110597979277372
Captain America,0.6449485884513706
Thor,0.8413727770093828
Captain America,0.41074129077605903
Captain America,0.1081111237872392
Thor,0.2364870912861079
Iron Man,0.11390940146520734
Captain America,0.8800634485669434
Hulk,0.16621075896546245
Black Widow,0.45473148906603456
Captain America,0.5933806356042624
Dr. Strange,0.561901775887236
Hulk,0.6448920622933656
Captain America,0.6441226040478796
Iron Man,0.9145522713661194
Hulk,0.5696785128675401
Hulk,0.9465821981430054
Captain America,0.9032847320195287
Captain America,0.6680370084941387
Iron Man,0.4880895842798054
Iron Man,0.12351341126486659
Dr. Strange,0.8951081654522568
Captain America,0.021851124009117484
Captain America,0.5568933733738959
Captain America,0.164880461525172
Captain America,0.0015251256991177797
Black Widow,0.5582950154785067
Captain America,0.37788029992952943
Captain America,0.44711331417784095
Captain America,0.33656141464598477
Iron Man,0.29812505561858416
Captain America,0.07540713506750762
Captain America,0.42493393388576806
Iron Man,0.10699611785821617
Captain America,0.9953849106095731
Captain America,0.6552059405948967
Hulk,0.3085571776609868
Captain America,0.12279451405629516
Iron Man,0.8324211002327502
Iron Man,0.9585556294769049
Iron Man,0.4051923572551459
Thor,0.5127162977587432
Captain America,0.18899873504415154
Dr. Strange,0.5267306857276708
Thor,0.4017149331048131
Hulk,0.699508162913844
Captain America,0.307000775821507
Captain America,0.3062310384120792
Captain America,0.5088706791866571
Black Widow,0.1674477916676551
Hulk,0.7276493958197534
Thor,0.16304975445382297
Captain America,0.30442636646330357
Dr. Strange,0.6486329333856702
Iron Man,0.3076265265699476
Captain America,0.32475032075308263
Captain America,0.34172486630268395
Thor,0.8473219973966479
Captain America,0.7856360266450793
Captain America,0.9072110613342375
Captain America,0.9399574582930654
Thor,0.8491608090698719
Iron Man,0.6279809304978698
Dr. Strange,0.11370683135464787
Captain America,0.40307847736403346
Dr. Strange,0.5869484178256243
Iron Man,0.515381290577352
Iron Man,0.5084593901410699
Captain America,0.7074605983216316
Hulk,0.4908655371982604
Thor,0.5635315633844584
Iron Man,0.6683167396113276
Dr. Strange,0.1526073047425598
Dr. Strange,0.37979212030768394
Dr. Strange,0.042881634552031755
Dr. Strange,0.9005532478913665
Dr. Strange,0.6567777742166072
Iron Man,0.38266168045811355
Dr. Strange,0.925265840254724
Captain America,0.16282480070367455
Iron Man,0.6422411652747542
Dr. Strange,0.6859627543017268
Captain America,0.42874517501331866
Captain America,0.47313170228153467
